episode, time, score
1, 212, 292.090406
2, 220, 262.003911
3, 205, 270.596939
4, 190, 276.505439
5, 184, 286.298976
6, 223, 257.977396
7, 183, 290.845040
8, 184, 263.021600
9, 188, 283.871358
10, 256, 287.618740
11, 982, 244.925484
12, 188, 250.682123
13, 217, 307.819473
14, 176, 287.424524
15, 197, 273.619238
16, 193, 263.387610
17, 239, 293.061542
18, 168, 278.063062
19, 236, 271.275846
20, 256, 295.279404
21, 166, 286.196038
22, 211, 241.122910
23, 275, 302.612107
24, 178, 239.191751
25, 197, 242.977697
26, 216, 278.379220
27, 212, 277.391299
28, 151, 267.944115
29, 209, 296.196154
30, 209, 255.496690
31, 292, 292.895647
32, 203, 297.702450
33, 219, 290.424137
34, 174, 256.563316
35, 167, 257.912977
36, 266, 288.784593
37, 212, 301.584710
38, 286, 292.827479
39, 1000, 192.615781
40, 248, 291.028592
41, 253, 276.156415
42, 252, 296.818181
43, 198, 269.592175
44, 274, 279.150565
45, 160, 274.321481
46, 215, 274.228737
47, 228, 266.230426
48, 216, 305.922979
49, 192, 254.534842
50, 209, 265.902832
51, 237, 267.465943
52, 192, 258.162057
53, 228, 312.213058
54, 242, 286.691685
55, 242, 265.455402
56, 240, 289.657699
57, 161, 282.416797
58, 273, 285.135385
59, 207, 269.581512
60, 184, 246.964737
61, 279, 303.945057
62, 280, 301.913098
63, 212, 298.874590
64, 147, 55.202666
65, 229, 286.922518
66, 167, 275.026928
67, 209, 308.072932
68, 206, 300.687503
69, 193, 273.591593
70, 172, 276.501871
71, 213, 288.088233
72, 1000, 158.826584
73, 204, 276.529398
74, 216, 277.373257
75, 199, 273.816696
76, 238, 274.119687
77, 170, 269.512316
78, 208, 263.457345
79, 172, 251.791365
80, 188, 245.455565
81, 203, 303.223081
82, 216, 296.577523
83, 193, 261.317537
84, 171, 247.697675
85, 216, 263.430324
86, 235, 300.429302
87, 238, 298.793826
88, 207, 279.182621
89, 179, 246.157168
90, 218, 262.279995
91, 183, 240.657073
92, 184, 280.173937
93, 1000, 145.626548
94, 197, 316.095368
95, 179, 238.569281
96, 208, 298.918657
97, 176, 287.049448
98, 289, 294.224201
99, 190, 247.561331
100, 204, 258.285987
