episode, time, score
1, 232, 290.306713
2, 1000, 140.839322
3, 209, 290.625153
4, 187, 271.836142
5, 236, 255.466278
6, 209, 292.405694
7, 1000, 120.399299
8, 234, 302.840359
9, 1000, 140.472018
10, 210, 280.451610
11, 1000, 137.917251
12, 235, 252.399989
13, 204, 290.871539
14, 328, 248.611389
15, 194, 268.948576
16, 177, 229.035329
17, 286, 222.923434
18, 1000, 150.960571
19, 208, 277.820398
20, 1000, 118.140778
21, 196, 260.433113
22, 191, 259.137743
23, 199, 295.716980
24, 257, 252.141818
25, 273, 251.382745
26, 182, 259.489069
27, 202, 281.647165
28, 277, 275.376597
29, 200, 244.750322
30, 188, 256.928334
31, 221, 286.906505
32, 236, 270.092111
33, 222, 277.125085
34, 184, 251.682556
35, 286, 240.945414
36, 207, 266.714782
37, 288, 259.910177
38, 1000, 106.214514
39, 204, 295.492661
40, 251, 264.979162
41, 214, 239.378589
42, 209, 229.154307
43, 263, 289.149939
44, 205, 274.637505
45, 176, 239.722329
46, 188, 255.137361
47, 218, 296.374103
48, 202, 291.370318
49, 221, 297.286088
50, 208, 272.652529
51, 266, 264.846534
52, 210, 246.690236
53, 192, 269.886203
54, 205, 242.223866
55, 216, 283.279762
56, 227, 294.720214
57, 243, 225.618302
58, 206, 273.961174
59, 229, 283.792066
60, 203, 278.801670
61, 271, 255.270790
62, 201, 250.920986
63, 205, 226.335907
64, 180, 282.483722
65, 194, 264.136802
66, 206, 265.280444
67, 216, 273.458144
68, 1000, 151.697537
69, 186, 270.395259
70, 202, 256.566700
71, 188, 255.831877
72, 234, 296.448629
73, 202, 250.443010
74, 237, 236.898978
75, 228, 280.249431
76, 218, 266.737173
77, 197, 289.997548
78, 280, 259.953587
79, 218, 290.606991
80, 218, 305.640315
81, 220, 293.966998
82, 195, 255.650472
83, 248, 233.001396
84, 1000, 134.804524
85, 363, 253.162249
86, 211, 263.593764
87, 1000, 130.265478
88, 257, 301.632008
89, 204, 274.545594
90, 252, 303.714391
91, 196, 251.524622
92, 209, 291.308960
93, 200, 273.259917
94, 255, 240.218232
95, 248, 256.852806
96, 190, 281.573211
97, 216, 223.725913
98, 235, 277.966939
99, 229, 300.957214
100, 205, 273.760235
