episode, time, score
1, 243, 271.221371
2, 191, 241.561405
3, 210, 281.775653
4, 234, 287.697662
5, 184, 261.371628
6, 235, 253.712476
7, 183, 256.746888
8, 261, 264.389525
9, 179, 277.105143
10, 206, 266.782715
11, 289, 301.072497
12, 226, 264.473000
13, 217, 282.501582
14, 174, 254.148562
15, 253, 273.651945
16, 199, 248.915170
17, 190, 261.477110
18, 214, 254.260987
19, 220, 252.985193
20, 176, 251.056400
21, 189, 239.405841
22, 288, 280.773007
23, 293, 297.930236
24, 244, 281.624156
25, 211, 275.453494
26, 1000, 144.241676
27, 284, 285.383046
28, 252, 281.627754
29, 187, 241.705578
30, 246, 294.119738
31, 282, 295.676496
32, 1000, 182.042837
33, 231, 280.374031
34, 310, 297.170644
35, 271, 289.257837
36, 245, 276.970179
37, 212, 263.128002
38, 199, 275.853826
39, 180, 263.679492
40, 182, 286.558782
41, 234, 265.897213
42, 192, 278.987797
43, 185, 238.454076
44, 224, 276.954169
45, 194, 261.582987
46, 219, 318.353559
47, 227, 260.336296
48, 234, 260.627304
49, 235, 286.615085
50, 202, 286.467989
51, 239, 300.043862
52, 181, 256.867365
53, 173, 277.631419
54, 183, 240.389210
55, 231, 271.608462
56, 244, 260.805199
57, 1000, 170.225235
58, 294, 287.069544
59, 223, 269.320122
60, 198, 262.560106
61, 231, 248.113894
62, 182, 268.144578
63, 212, 312.984591
64, 284, 289.599970
65, 234, 269.820685
66, 207, 278.163091
67, 283, 300.843045
68, 180, 291.480880
69, 209, 260.333660
70, 241, 286.873424
71, 231, 265.200141
72, 188, 278.938044
73, 192, 278.805043
74, 234, 281.350972
75, 211, 257.178992
76, 187, 263.157006
77, 185, 237.055946
78, 184, 235.180618
79, 271, 310.678831
80, 220, 252.529664
81, 273, 293.084284
82, 199, 276.995043
83, 215, 279.047146
84, 258, 278.506816
85, 237, 273.442918
86, 212, 261.962500
87, 223, 275.833915
88, 270, 274.057311
89, 187, 250.588984
90, 175, 280.523689
91, 228, 260.165443
92, 177, 255.938243
93, 1000, 130.303115
94, 257, 281.211214
95, 273, 284.428321
96, 213, 284.683781
97, 198, 255.115377
98, 217, 279.648553
99, 227, 296.486100
100, 243, 291.958196
