episode, time, score
1, 190, 273.799718
2, 283, 282.997917
3, 184, 269.930899
4, 259, 302.158895
5, 200, 280.557948
6, 160, 279.192907
7, 176, 239.873562
8, 321, 249.557885
9, 247, 290.393825
10, 195, 286.793023
11, 166, 249.530085
12, 198, 257.990801
13, 250, 241.261712
14, 200, 295.543929
15, 276, 307.524103
16, 210, 284.195397
17, 172, 280.244988
18, 222, 270.517944
19, 236, 293.698864
20, 217, 279.027690
21, 196, 281.497443
22, 163, 251.316204
23, 167, 253.886130
24, 183, 271.009178
25, 160, 275.335797
26, 187, 299.495217
27, 210, 284.659608
28, 182, 259.977182
29, 207, 257.314754
30, 201, 283.314741
31, 201, 274.274087
32, 210, 284.036243
33, 172, 259.528890
34, 216, 275.788951
35, 190, 282.988744
36, 173, 256.095425
37, 205, 277.097271
38, 199, 267.146602
39, 203, 289.016363
40, 203, 278.440639
41, 191, 259.969537
42, 250, 294.310335
43, 280, 282.864785
44, 274, 244.000690
45, 210, 283.709867
46, 177, 247.307810
47, 208, 282.239990
48, 191, 273.748857
49, 209, 278.117024
50, 222, 272.215702
51, 209, 313.438969
52, 207, 294.642541
53, 247, 277.696656
54, 196, 277.773203
55, 181, 255.607332
56, 194, 289.027761
57, 179, 246.411394
58, 270, 293.348022
59, 204, 251.212775
60, 198, 280.673437
61, 195, 264.519371
62, 209, 289.364904
63, 194, 248.323625
64, 211, 297.825742
65, 202, 310.850924
66, 211, 239.315419
67, 211, 284.804517
68, 224, 284.984130
69, 204, 285.530585
70, 209, 269.099642
71, 199, 253.736020
72, 181, 268.520925
73, 227, 304.308183
74, 236, 301.886943
75, 196, 272.355561
76, 252, 271.964455
77, 162, 274.436567
78, 199, 314.381003
79, 199, 287.618455
80, 206, 285.103854
81, 215, 291.598540
82, 221, 291.663699
83, 214, 290.228147
84, 289, 307.110606
85, 177, 269.503998
86, 220, 282.053237
87, 188, 269.286017
88, 204, 254.016886
89, 200, 252.373768
90, 212, 238.496328
91, 255, 283.186542
92, 184, 263.516191
93, 225, 286.588041
94, 196, 296.194247
95, 238, 304.234171
96, 246, 288.399083
97, 194, 270.336917
98, 198, 278.134426
99, 223, 243.453745
100, 251, 303.482036
